strain,has_titers,log10_293-SA23_over_293-noSA_titer,log10_293-SA26_over_293-noSA_titer,log10_293-noSA-human-MHCII-0301_over_293-noSA_titer,log10_293-noSA-human-MHCII-1503_over_293-noSA_titer,log10_293-noSA-tufted-duck-MHCII_over_293-noSA_titer,log10_293-SA26_over_293-SA23_titer,log10_293-noSA_over_293-SA23_titer,log10_293-noSA-human-MHCII-0301_over_293-SA23_titer,log10_293-noSA-human-MHCII-1503_over_293-SA23_titer,log10_293-noSA-tufted-duck-MHCII_over_293-SA23_titer,log10_293-SA23_over_293-SA26_titer,log10_293-noSA_over_293-SA26_titer,log10_293-noSA-human-MHCII-0301_over_293-SA26_titer,log10_293-noSA-human-MHCII-1503_over_293-SA26_titer,log10_293-noSA-tufted-duck-MHCII_over_293-SA26_titer
A/England/980/2009,yes,0.03,2.45,0.54,0.07,0.02,2.42,-0.03,0.51,0.04,-0.01,-2.42,-2.45,-1.91,-2.38,-2.43
A/New York City/2/1918,yes,0.68,2.32,1.30,2.01,3.31,1.64,-0.68,0.62,1.33,2.64,-1.64,-2.32,-1.02,-0.31,0.99
A/New York/230/2003,yes,1.12,4.11,2.21,0.04,0.10,3.00,-1.12,1.09,-1.07,-1.02,-3.00,-4.11,-1.91,-4.07,-4.02
A/Siena/10/1989,yes,1.78,2.91,1.59,0.11,-0.22,1.13,-1.78,-0.19,-1.67,-2.00,-1.13,-2.91,-1.32,-2.80,-3.13
A/WSN/1933,yes,1.35,2.01,1.22,-0.33,-0.32,0.65,-1.35,-0.14,-1.69,-1.67,-0.65,-2.01,-0.79,-2.34,-2.32
A/mallard duck/Alberta/282/1977,yes,2.79,2.12,3.41,4.00,5.07,-0.68,-2.79,0.61,1.21,2.28,0.68,-2.12,1.29,1.89,2.95
A/swine/Guangdong/01/2008,yes,1.26,2.99,1.38,-0.19,0.05,1.73,-1.26,0.12,-1.45,-1.21,-1.73,-2.99,-1.62,-3.18,-2.94
A/swine/Iowa/15/1930,yes,0.52,1.79,0.66,-0.02,2.20,1.27,-0.52,0.14,-0.53,1.68,-1.27,-1.79,-1.13,-1.81,0.41
A/swine/North Carolina/00396/2004,yes,0.04,1.92,0.28,0.30,0.20,1.88,-0.04,0.24,0.26,0.16,-1.88,-1.92,-1.64,-1.63,-1.72
A/swine/Shandong/9/2016,yes,0.71,0.80,0.90,0.15,0.34,0.09,-0.71,0.19,-0.56,-0.37,-0.09,-0.80,0.10,-0.65,-0.46
