accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
CY110922.1	A/Puerto Rico/8-RGcH5-1/1934	H5N1	1934	Homo sapiens	9606	human	Primates		North America		1698
CY015081.1	A/chicken/Scotland/1959	H5N1	1959	Aves	8782	avian		United Kingdom: Scotland	Europe		1767
KM190930.1	A/chicken/Scotland/1959	H5N1	1959	Gallus gallus	9031	avian	Galliformes	United Kingdom	Europe		1692
GU052518.1	A/chicken/Scotland/1959	H5N1	1959	Gallus gallus	9031	avian	Galliformes	United Kingdom: Scotland	Europe		1742
CY014984.1	A/tern/South Africa/1961	H5N3	1961	Aves	8782	avian		South Africa	Africa		1779
GU052822.1	A/tern/South Africa/1961	H5N3	1961	Laridae	8910	avian	Charadriiformes	South Africa	Africa		1754
CY107861.1	A/tern/South Africa/1961	H5N3	1961	Laridae	8910	avian	Charadriiformes	South Africa	Africa		1704
CY107858.1	A/turkey/Ontario/6213/1966	H5N1	1966	Meleagris gallopavo	9103	avian	Galliformes	Canada	North America		1692
CY107859.1	A/turkey/Ontario/7732/1966	H5N9	1966	Meleagris gallopavo	9103	avian	Galliformes	Canada	North America		1695
AB558456.1	A/turkey/Ontario/7732/1966	H5N9	1966	Meleagris gallopavo	9103	avian	Galliformes		Asia		1698
CY107855.1	A/turkey/Canada/6213/1967	H5N1	1967	Meleagris gallopavo	9103	avian	Galliformes	Canada	North America		1692
CY080507.1	A/turkey/Wisconsin/1/1968	H5N9	1968-06-11	Meleagris gallopavo	9103	avian	Galliformes	USA: Wisconsin	North America	egg 2 passage(s)	1729
GU186482.1	A/turkey/CO/118899/1972	H5N2	1972	Meleagris gallopavo	9103	avian	Galliformes	USA	North America		1726
GU052548.1	A/turkey/England/N28/1973	H5N2	1973	Meleagris gallopavo	9103	avian	Galliformes	United Kingdom: England	Europe		1729
CY179763.1	A/mallard/Alabama/847/1975	H5N2	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1737
EU743293.1	A/mallard/WI/42/1975	H5N2	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA	North America		1733
CY179779.1	A/mallard/Wisconsin/42/1975	H5N2	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1731
CY180380.1	A/blue-winged teal/Wisconsin/231/1976	H5N2	1976	Spatula discors	75842	avian	Anseriformes	USA: DeSoto East, WI	North America		1731
CY180532.1	A/duck/Minnesota/63/1976	H5N2	1976	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1731
CY180540.1	A/green-winged teal/Wisconsin/103/1976	H5N2	1976	Anas carolinensis	75836	avian	Anseriformes	USA: DeSoto West, WI	North America		1729
AB558459.1	A/mallard/Miyagi/53/1976	H5N3	1976	Anas platyrhynchos	8839	avian	Anseriformes	Japan:Miyagi	Asia		1695
CY180388.1	A/mallard/Wisconsin/232/1976	H5N2	1976	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto East, WI	North America		1726
CY005918.1	A/mallard duck/ALB/57/1976	H5N2	1976-08-12	Aves	8782	avian		Canada: Alberta	North America		1767
CY014615.1	A/duck/Hong Kong/205/1977	H5N3	1977	Aves	8782	avian		Hong Kong	Asia		1767
AB542809.1	A/duck/Hong Kong/313-4/1978	H5N3	1978					Hong Kong	Asia		1695
CY005575.1	A/duck/Hong Kong/342/1978	H5N2	1978	Aves	8782	avian		Hong Kong: Hong Kong	Asia		1767
CY006028.1	A/goose/Hong Kong/23/1978	H5N3	1978	Aves	8782	avian		Hong Kong: Hong Kong	Asia		1767
EF597250.1	A/duck/Hong Kong/698/1979	H5N3	1979					China	Asia		1695
EU743301.1	A/turkey/CA/6878/1979	H5N3	1979	Meleagris gallopavo	9103	avian	Galliformes	USA	North America		1742
LC042019.1	A/duck/Hong Kong/819/1980	H5N3	1980	Anseriformes	8826	avian	Anseriformes	Hong Kong	Asia		1749
LC042027.1	A/duck/Hong Kong/820/1980	H5N3	1980	Anseriformes	8826	avian	Anseriformes	Hong Kong	Asia		1752
LC042035.1	A/duck/Hong Kong/821/1980	H5N3	1980	Anseriformes	8826	avian	Anseriformes	Hong Kong	Asia		1748
CY021381.1	A/turkey/Italy/1980	H5N2	1980	Meleagris gallopavo	9103	avian	Galliformes	Italy	Europe	Egg 1 passage(s)	1733
CY014580.1	A/mallard duck/Alberta/645/1980	H5N2	1980-08-22	Aves	8782	avian		Canada: Alberta	North America		1767
CY077685.1	A/duck/Victoria/26/1981	H5N2	1981	Anatidae	8830	avian	Anseriformes	Australia: Victoria	Oceania		1733
CY178647.1	A/mallard/Saskatchewan/17/1981	H5N2	1981	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Liberty, Saskatchewan	North America		1742
CY179403.1	A/mallard/Wisconsin/411/1981	H5N2	1981	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
AB558457.1	A/turkey/Minnesota/3689-1551/1981	H5N2	1981	Meleagris gallopavo	9103	avian	Galliformes		Asia		1695
CY014726.1	A/duck/Minnesota/1525/1981	H5N1	1981-10-17	Aves	8782	avian		USA: Minnesota	North America		1767
CY179411.1	A/mallard/Wisconsin/568/1982	H5N1	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Iowa County, WI	North America		1742
CY036759.1	A/mallard/Wisconsin/944/1982	H5N2	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1704
CY178815.1	A/mallard/Wisconsin/984/1982	H5N2	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178078.1	A/mallard/Wisconsin/99/1982	H5N2	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178062.1	A/mallard/Wisconsin/994/1982	H5N2	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178070.1	A/mallard/Wisconsin/996/1982	H5N2	1982	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
EU743600.2	A/turkey/TX/1-40-82/1982	H5N2	1982	Meleagris gallopavo	9103	avian	Galliformes	USA	North America		1742
CY014849.1	A/mallard duck/New York/189/1982	H5N2	1982-12-01	Aves	8782	avian		USA: New York	North America		1767
CY178094.1	A/blue-winged teal/Wisconsin/568/1983	H5N2	1983	Spatula discors	75842	avian	Anseriformes	USA: Wisconsin	North America		1742
CY015073.1	A/chicken/Pennsylvania/1/1983	H5N2	1983	Aves	8782	avian		USA: Pennsylvania	North America		1767
CY107847.1	A/chicken/Pennsylvania/1/1983	H5N2	1983	Gallus gallus	9031	avian	Galliformes	USA	North America		1692
GU052771.1	A/chicken/Pennsylvania/1370/1983	H5N2	1983	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
CY107848.1	A/chicken/Pennsylvania/1370/1983	H5N2	1983	Gallus gallus	9031	avian	Galliformes	USA	North America		1692
AB558463.1	A/chicken/Pennsylvania/1370/1983	H5N2	1983	Gallus gallus	9031	avian	Galliformes				1695
GU052787.1	A/chicken/Pennsylvania/21525/1983	H5N2	1983	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
GU052853.1	A/duck/Ireland/113/1983	H5N8	1983	Anatidae	8830	avian	Anseriformes	Ireland	Europe		1719
CY178110.1	A/mallard/Wisconsin/1616/1983	H5N2	1983	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178118.1	A/mallard/Wisconsin/1622/1983	H5N2	1983	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178126.1	A/mallard/Wisconsin/1623/1983	H5N2	1983	Anas platyrhynchos	8839	avian	Anseriformes	USA: Madison, WI	North America		1742
CY178623.1	A/mallard/Wisconsin/487/1983	H5N2	1983	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1742
CY178102.1	A/mallard/Wisconsin/598/1983	H5N2	1983	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1742
CY015089.1	A/turkey/Ireland/1378/1983	H5N8	1983	Aves	8782	avian		Ireland	Europe		1773
GU052860.1	A/turkey/Ireland/?/1983	H5N8	1983	Meleagris gallopavo	9103	avian	Galliformes	Ireland	Europe		1719
CY178086.1	A/widgeon/Wisconsin/493/1983	H5N2	1983	Mareca penelope	8838	avian	Anseriformes	USA: Wisconsin	North America		1742
EU871820.1	A/turkey/Ontario/84/1983	H5N1	1983-01	Meleagris gallopavo	9103	avian	Galliformes	Canada	North America		1767
FJ610134.1	A/chicken/VA/40018/1984	H5N2	1984	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
KX879581.1	A/duck/Pennsylvania/10218-MA/1984	H5N2	1984								1731
CY006036.1	A/duck/Potsdam/2216-4/1984	H5N6	1984	Aves	8782	avian		Germany: Potsdam	Europe		1767
KM190931.1	A/duck/Potsdam/2216/1984	H5N6	1984	Anatidae	8830	avian	Anseriformes	Germany	Europe		1692
GU183567.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KM251542.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183558.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183561.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183565.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183568.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183559.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183555.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183560.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183563.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KF006996.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183562.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
GU183564.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KM186130.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KM226782.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KM186131.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
KF006998.1	A/mallard/Pennsylvania/10218/1984	H5N2	1984								1695
AB558462.1	A/turkey/California/21860/1984	H5N3	1984	Meleagris gallopavo	9103	avian	Galliformes		Asia		1695
CY014640.1	A/duck/New Zealand/41/1984	H5N2	1984-02-09	Aves	8782	avian		New Zealand	Oceania		1766
KP674447.1	A/chicken/Pennsylvania/7659/1985	H5N2	1985	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
HF563055.1	A/duck/Potsdam/619/1985	H5N2	1985								1767
GU052779.1	A/chicken/Florida/27716-2/1986	H5N2	1986	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
GU052747.1	A/chicken/Pennsylvania/10210/1986	H5N2	1986	Gallus gallus	9031	avian	Galliformes	USA	North America		1742
CY014642.1	A/duck/Potsdam/1402-6/1986	H5N2	1986	Aves	8782	avian		Germany: Potsdam	Europe		1767
EU743233.1	A/goose/OH/22911-2/1986	H5N2	1986	Anatidae	8830	avian	Anseriformes	USA	North America		1722
FJ357091.1	A/guinea fowl/OH/22911-20/1986	H5N2	1986	Numididae	8990	avian	Galliformes	USA	North America		1721
EU743071.1	A/turkey/MN/40550/1987	H5N2	1987	Meleagris gallopavo	9103	avian	Galliformes	USA	North America		1732
U67783.2	Mallard/Ohio/556/1987	H5N9	1987								1721
CY014872.1	A/black duck/New York/184/1988	H5N2	1988	Aves	8782	avian		USA: New York	North America		1767
CY011248.1	A/wigeon/Ohio/379/1988	H5N2	1988-10-15	Mareca	1526411	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1733
EU564114.1	A/Anas platyrhynchos/Altai/1285/1991	H5N3	1991	Anatidae	8830	avian	Anseriformes	Russia	Europe		1717
GU052510.1	A/turkey/England/50-92/1991	H5N1	1991	Meleagris gallopavo	9103	avian	Galliformes	United Kingdom: England	Europe		1748
KF435066.1	A/finch/England/2051/1991	H5N2	1991-02-21	Fringillidae	9133	avian	Passeriformes	USA	North America		1767
EU182309.1		H5N2	1992	Meleagris gallopavo	9103	avian	Galliformes	USA	North America		1729
GU186483.1	A/chicken/FL/25717/1993	H5N2	1993	Gallus gallus	9031	avian	Galliformes	USA	North America		1724
EU743019.1	A/chicken/NJ/17169/1993	H5N2	1993	Gallus gallus	9031	avian	Galliformes	USA	North America		1731
EU743027.1	A/chicken/NY/14009/1993	H5N2	1993	Gallus gallus	9031	avian	Galliformes	USA	North America		1723
CY034681.1	A/chicken/Pennsylvania/3609/1993(H5N2)	H5N2	1993	Gallus gallus	9031	avian	Galliformes	USA	North America		1767
EU743035.1	A/emu/TX/39924/1993	H5N2	1993	Dromaius novaehollandiae	8790	avian	Casuariiformes	USA	North America		1706
EU743106.1	A/rhea/TX/39923/1993	H5N2	1993	Rhea	8796	avian	Rheiformes	USA	North America		1736
CY006040.1	A/chicken/Hidalgo/28159-232/1994	H5N2	1994	Aves	8782	avian		Mexico: Hildago	North America		1767
PQ208070.1	A/chicken/Hidalgo/28159-232/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico: Hidalgo	North America		1767
FJ610108.1	A/chicken/Jalisco/14589-660/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
GU186565.1	A/chicken/Mexico/31381-3/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
GU186573.1	A/chicken/Mexico/31381-7/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
GU052659.1	A/chicken/Mexico/31381-991/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
FJ610094.1	A/chicken/Puebla/14587-644/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1748
AB558473.1	A/chicken/Puebla/8623-607/1994	H5N2	1994	Gallus gallus	9031	avian	Galliformes				1701
EU743135.1	A/emu/NY/12716/1994	H5N9	1994	Dromaius novaehollandiae	8790	avian	Casuariiformes	USA	North America		1732
OK205715.1	A/chicken/Mexico/31381-1/1994	H5N2	1994-01-10	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205723.1	A/chicken/Mexico/31381-2/1994	H5N2	1994-03-01	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205755.1	A/chicken/Mexico/31382-1/1994	H5N2	1994-03-09	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1764
OK205739.1	A/chicken/Mexico/31381-5/1994	H5N2	1994-04-18	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205747.1	A/chicken/Mexico/31381-8/1994	H5N2	1994-04-30	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205627.1	A/chicken/Hidalgo/26654-1368/1994	H5N2	1994-05-03	Gallus gallus	9031	avian	Galliformes	Mexico: Hidalgo	North America		1767
OK205707.1	A/chicken/Mexico/26654-1374/1994	H5N2	1994-05-03	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205731.1	A/chicken/Mexico/31381-4/1994	H5N2	1994-06-21	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
OK205803.1	A/chicken/Puebla/8623-607/1994	H5N2	1994-11-22	Gallus gallus	9031	avian	Galliformes	Mexico: Puebla	North America		1773
OK205787.1	A/chicken/Puebla/14590-658/1994	H5N2	1994-12-01	Gallus gallus	9031	avian	Galliformes	Mexico: Puebla	North America		1773
OK205515.1	A/chicken/Chiapas/28159-488/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Chiapas	North America		1767
OK205547.1	A/chicken/Guanajuato/28159-331/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Guanajuato	North America		1767
GU052651.1	A/chicken/Guanajuato/28159-546/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
OK205635.1	A/chicken/Hidalgo/28159-460/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Hidalgo	North America		1767
OK205651.1	A/chicken/Jalisco/28159-600/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Jalisco	North America		1767
GU052690.1	A/chicken/Mexico/28159-541/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
OK205763.1	A/chicken/Michoacan/28159-530/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Michoacan	North America		1767
GU052675.1	A/chicken/Puebla/28159-474/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
OK205795.1	A/chicken/Puebla/28159-474/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Puebla	North America		1767
AB558474.1	A/chicken/Queretaro/14588-19/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes				1701
OK205843.1	A/chicken/Queretaro/7653-20/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Queretaro	North America		1779
OK205883.1	A/chicken/Veracruz/28159-398/1995	H5N2	1995	Gallus gallus	9031	avian	Galliformes	Mexico: Veracruz	North America		1767
OK205819.1	A/chicken/Queretaro/14588-19/1995	H5N2	1995-01-09	Gallus gallus	9031	avian	Galliformes	Mexico: Queretaro	North America		1773
GU052588.1	A/chicken/Mexico/37821-771/1996	H5N2	1996	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1742
OK205827.1	A/chicken/Queretaro/22019-853/1996	H5N2	1996	Gallus gallus	9031	avian	Galliformes	Mexico: Queretaro	North America		1773
OK205851.1	A/chicken/San Luis Potosi/7651/1996	H5N2	1996	Gallus gallus	9031	avian	Galliformes	Mexico: San Luis Potosi	North America		1767
NC_007362.1	A/goose/Guangdong/1/1996	H5N1	1996								1760
GU052097.1	A/Hong Kong/483/1997	H5N1	1997	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1754
GU052142.1	A/Hong Kong/485/1997	H5N1	1997	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1754
GU052473.1	A/avian/Italy/1485/1997	H5N1	1997	Aves	8782	avian		Italy	Europe		1748
OK205499.1	A/chicken/Chiapas/15224/1997	H5N2	1997	Gallus gallus	9031	avian	Galliformes	Mexico: Chiapas	North America		1767
OK205507.1	A/chicken/Chiapas/15405/1997	H5N2	1997	Gallus gallus	9031	avian	Galliformes	Mexico: Chiapas	North America		1766
GU052135.1	A/chicken/Hong Kong/786-2/1997	H5N1	1997	Gallus gallus	9031	avian	Galliformes	Hong Kong	Asia		1754
DQ997102.1	A/chicken/Hubei/wh/1997	H5N1	1997					China	Asia		1779
DQ997122.1	A/chicken/Hubei/wj/1997	H5N1	1997					China	Asia		1779
DQ997133.1	A/chicken/Hubei/wl/1997	H5N1	1997					China	Asia		1779
EF597263.1	A/chicken/Italy/312/1997	H5N2	1997					Italy	Europe		1718
GU052403.2	A/chicken/Italy/330/1997	H5N2	1997	Gallus gallus	9031	avian	Galliformes	Italy	Europe		1748
OK205675.1	A/chicken/Mexico/15407/1997	H5N2	1997	Gallus gallus	9031	avian	Galliformes	Mexico	North America		1767
EF619972.1	A/duck/Singapore/3/1997	H5N3	1997	Anatidae	8830	avian	Anseriformes	Singapore: Singapore	Asia		1761
GU052802.1	A/duck/Singapore/F119/3/1997	H5N3	1997	Anatidae	8830	avian	Anseriformes	Singapore	Asia		1742
GU052127.1	A/environment/Hong Kong/156/1997	H5N1	1997					Hong Kong	Asia		1754
GU052035.1	A/environment/Hong Kong/486/1997	H5N1	1997					Hong Kong	Asia		1754
CY017403.1	A/poultry/Italy/330/1997	H5N2	1997	Aves	8782	avian		Italy	Europe	Egg 1 passage(s)	1735
CY022261.1	A/poultry/Italy/365/1997	H5N2	1997	Aves	8782	avian		Italy	Europe	Egg 1 passage(s)	1735
CY022077.1	A/poultry/Italy/367/1997	H5N2	1997	Aves	8782	avian		Italy	Europe	Egg 1 passage(s)	1735
CY020229.1	A/poultry/Italy/373/1997	H5N2	1997	Aves	8782	avian		Italy	Europe	Egg 1 passage(s)	1739
CY018949.1	A/poultry/Italy/382/1997	H5N2	1997	Aves	8782	avian		Italy	Europe	Egg 1 passage(s)	1730
MH231588.1	A/mallard duck/New Zealand/AI_1.97c/1997	H5N2	1997-01	Anas platyrhynchos	8839	avian	Anseriformes	New Zealand	Oceania		1743
CY015115.1	A/chicken/Italy/312/1997	H5N2	1997-10	Aves	8782	avian		Italy	Europe		1773
OK205563.1	A/chicken/Guatemala/22066/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
OK205571.1	A/chicken/Guatemala/22189/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
CY022621.1	A/chicken/Italy/22A/1998	H5N9	1998	Gallus gallus	9031	avian	Galliformes	Italy	Europe	Egg 1 passage(s)	1734
EF597267.1	A/chicken/Italy/8/1998	H5N2	1998					Italy	Europe		1706
CY107845.1	A/chicken/Italy/8/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Italy	Europe		1698
OK205643.1	A/chicken/Jalisco/229-4592/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Mexico: Jalisco	North America		1767
OK205771.1	A/chicken/Morelos/227-4353/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Mexico: Morelos	North America		1767
AY497084.2	A/chicken/Puebla/231-5284/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes				1742
OK205859.1	A/chicken/Tabasco/234-8289/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Mexico: Tabasco	North America		1767
OK205867.1	A/chicken/Veracruz/232-6169/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Mexico: Veracruz	North America		1767
OK205875.1	A/chicken/Veracruz/233-7607/1998	H5N2	1998	Gallus gallus	9031	avian	Galliformes	Mexico: Veracruz	North America		1767
