accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
CY080507.1	A/turkey/Wisconsin/1/1968	H5N9	1968-06-11	Meleagris gallopavo		USA: Wisconsin	North America	egg 2 passage(s)	1729
CY005918.1	A/mallard duck/ALB/57/1976	H5N2	1976-08-12	Aves		Canada: Alberta	North America		1767
CY014580.1	A/mallard duck/Alberta/645/1980	H5N2	1980-08-22	Aves		Canada: Alberta	North America		1767
CY014726.1	A/duck/Minnesota/1525/1981	H5N1	1981-10-17	Aves		USA: Minnesota	North America		1767
CY014849.1	A/mallard duck/New York/189/1982	H5N2	1982-12-01	Aves		USA: New York	North America		1767
EU871820.1	A/turkey/Ontario/84/1983	H5N1	1983-01	Meleagris gallopavo		Canada	North America		1767
CY014640.1	A/duck/New Zealand/41/1984	H5N2	1984-02-09	Aves		New Zealand	Oceania		1766
CY011248.1	A/wigeon/Ohio/379/1988	H5N2	1988-10-15	Mareca		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1733
KF435066.1	A/finch/England/2051/1991	H5N2	1991-02-21	Fringillidae		USA	North America		1767
OK205715.1	A/chicken/Mexico/31381-1/1994	H5N2	1994-01-10	Gallus gallus		Mexico	North America		1767
OK205723.1	A/chicken/Mexico/31381-2/1994	H5N2	1994-03-01	Gallus gallus		Mexico	North America		1767
OK205755.1	A/chicken/Mexico/31382-1/1994	H5N2	1994-03-09	Gallus gallus		Mexico	North America		1764
OK205739.1	A/chicken/Mexico/31381-5/1994	H5N2	1994-04-18	Gallus gallus		Mexico	North America		1767
OK205747.1	A/chicken/Mexico/31381-8/1994	H5N2	1994-04-30	Gallus gallus		Mexico	North America		1767
OK205627.1	A/chicken/Hidalgo/26654-1368/1994	H5N2	1994-05-03	Gallus gallus		Mexico: Hidalgo	North America		1767
OK205707.1	A/chicken/Mexico/26654-1374/1994	H5N2	1994-05-03	Gallus gallus		Mexico	North America		1767
OK205835.1	A/chicken/Queretaro/26654-1373/1994	H5N2	1994-05-03	Gallus gallus		Mexico: Queretaro	North America		1767
OK205731.1	A/chicken/Mexico/31381-4/1994	H5N2	1994-06-21	Gallus gallus		Mexico	North America		1767
OK205803.1	A/chicken/Puebla/8623-607/1994	H5N2	1994-11-22	Gallus gallus		Mexico: Puebla	North America		1773
OK205779.1	A/chicken/Puebla/14585-622/1994	H5N2	1994-11-25	Gallus gallus		Mexico: Puebla	North America		1773
OK205787.1	A/chicken/Puebla/14590-658/1994	H5N2	1994-12-01	Gallus gallus		Mexico: Puebla	North America		1773
OK205811.1	A/chicken/Puebla/8624-602/1994	H5N2	1994-12-01	Gallus gallus		Mexico: Puebla	North America		1773
OK205819.1	A/chicken/Queretaro/14588-19/1995	H5N2	1995-01-09	Gallus gallus		Mexico: Queretaro	North America		1773
MH231588.1	A/mallard duck/New Zealand/AI_1.97c/1997	H5N2	1997-01	Anas platyrhynchos		New Zealand	Oceania		1743
CY015115.1	A/chicken/Italy/312/1997	H5N2	1997-10	Aves		Italy	Europe		1773
FJ750571.1	A/chicken/Belgium/150VB/1999	H5N2	1999-06-29	Gallus gallus		Belgium: Provincie Limburg	Europe		1695
MH597535.1	A/ruddy turnstone/Delaware/828239/2001	H5N7	2001-05-18	Arenaria interpres		USA: Delaware	North America		1695
MH598106.1	A/ruddy turnstone/New Jersey/828212/2001	H5N2	2001-05-23	Arenaria interpres		USA: New Jersey	North America		1695
MH598105.1	A/ruddy turnstone/New Jersey/828212/2001	H5N2	2001-05-23	Arenaria interpres		USA: New Jersey	North America		1712
MH598125.1	A/ruddy turnstone/New Jersey/828227/2001	H5N8	2001-05-23	Arenaria interpres		USA: New Jersey	North America		1695
GQ227604.1	A/duck/Primorie/2633/2001	H5N3	2001-08-24	Anatidae		Russia	Europe		1742
AB535130.1	A/teal/Tottori/150/02	H5N3	2002-01-19	Anas crecca		Japan:Tottori	Asia		1695
JF772148.1	A/quail/Guangxi/11/2002	H5N1	2002-07	Galliformes		China	Asia		1707
